Hot Sauce,Ingredients,SHU,Taste,Aroma,Looks,Heat,Label,Capsaicin?,Habanero?,Jalapeno?,Ghost?,Scorpion?,Carolina Reaper?,Cayenne?,Poblano?,Serrano?,Vinegar?,Water?,Oil?,Fruit?,Vegetable?,Sweetener?,Thickener?
Blair's - 16 Million Reserve,Pure Crystal 16 Million Capsaicin,16000000,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blair's - 3 A.M. Reserve,"Natural Pepper Extract, Red Savina Habanero, Cayenne Chilies And Vinegar",2000000,3.5,3.5,4.0,0.1,4.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Klowns On Fire! - Mango Reaper,"Mangos, Key Lime, Lemon Juice, Jalapeno Juice, Honey, Brown Sugar, Cloves, Catsup, Chili Powder, Carolina Reaper Powder, Salt, Pepper, Garlic, Red Onions, Butter",1569300,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0
Blair's - Ultra Death Sauce,"Habanero Peppers, Salt, Cayenne Peppers, Natural Flavor, Vinegar, Serrano Peppers, Corn Starch, Garlic, Jolokia Peppers, Spices",1100000,2.8,3.7,3.9,2.5,5.0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
Ass in the Tub - Ghost Pepper Sauce,"Bhut Jolokia (Ghost) Peppers, Carrots, Papayas, Lime Juice, Vinegar, Onions, Passion Fruit, Citric Acid, Garlic, Salt, Xanthan Gum.",1000000,4.9,4.9,4.0,4.9,5.0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
CaJohns - Magma Hot Sauce,"Vinegar, Water, Salt, Oleoresin Of Capsicum",1000000,3.7,4.0,2.5,3.8,3.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Blair's - 2 A.M. Reserve,"Natural Pepper Extract, Red Savina Habanero, Cayenne Chilies, Vinegar",900000,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CaJohns - Reaper Sling Blade Hot Sauce,"Chile Peppers (Carolina Reaper, Bhut Jolokia), Apple Cider Vinegar, Distilled Vinegar, Tomato Paste, Lemon Juice, Onion, Garlic, Salt, Spices",800000,5.0,5.0,4.4,3.6,4.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
Tropical Pepper Co. - Scorpion Pepper Hot Sauce,"Scorpion Peppers, Water, Salt, Acetic Acid, Xanthan Gum ",780000,5.0,4.0,3.9,5.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
SH' THAT'S HOT! - Carolina Reaper Throat Punch,"Distilled White Vinegar, Carrots, Molasses, Peaches, Water, Carolina Reaper Powder, Salt",750000,5.0,5.0,5.0,5.0,4.4,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
South Devon Chilli Farm - Scorpion Chilli Sauce,"Fresh Scorpion Chillies, Spirit Vinegar, Salt.",700000,4.2,3.5,4.0,4.9,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Mad Dog 357 - Collector's Edition,"Distilled Vinegar, 6 Million Scoville Chile Extract, Evaporated Cane Juice, Fresh Habanero Peppers, Garlic, Onion, 160,000 Scoville Cayenne Pepper, Spices, Xanthan Gum",600000,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
Melinda’s - Red Savina Pepper Sauce,"Red Savina Pepper Mash (water, Red Savina Peppers With Seeds), Fresh Carrots, Onions, Lime Juice, Vinegar, Garlic, Salt, Xanthan Gum",577000,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
